index	name	ui_name	r	g	b	density
47	GRASS	Grass	130	205	75	5600.0
48	GRASS_SHORT	Grass Short	130	205	75	5950.0
49	HAY	Hay	240	205	125	5950.0
50	BUSHES	Bushes	85	160	30	525.0
51	TWIGS	Twigs	115	100	70	700.0
52	LEAVES	Leaves	70	100	50	350.0
53	WOODCHIPS	Woodchips	115	100	70	1820.0
54	TREE_BARK	Tree Bark	115	100	70	840.0
55	METAL_SOLID_SMALL	Metal Solid Small	155	180	190	24500.0
56	METAL_SOLID_MEDIUM	Metal Solid Medium	155	180	190	28000.0
57	METAL_SOLID_LARGE	Metal Solid Large	155	180	190	31500.0
58	METAL_HOLLOW_SMALL	Metal Hollow Small	155	180	190	1750.0
59	METAL_HOLLOW_MEDIUM	Metal Hollow Medium	155	180	190	2100.0
60	METAL_HOLLOW_LARGE	Metal Hollow Large	155	180	190	2450.0
61	METAL_CHAINLINK_SMALL	Metal Chainlink Small	155	180	190	3500.0
62	METAL_CHAINLINK_LARGE	Metal Chainlink Large	155	180	190	3850.0
63	METAL_CORRUGATED_IRON	Metal Corrugated Iron	155	180	190	21000.0
64	METAL_GRILLE	Metal Grille	155	180	190	3500.0
65	METAL_RAILING	Metal Railing	155	180	190	4200.0
66	METAL_DUCT	Metal Duct	155	180	190	1750.0
67	METAL_GARAGE_DOOR	Metal Garage Door	155	180	190	31500.0
68	METAL_MANHOLE	Metal Manhole	155	180	190	31500.0
69	WOOD_SOLID_SMALL	Wood Solid Small	155	130	95	1400.0
70	WOOD_SOLID_MEDIUM	Wood Solid Medium	155	130	95	2100.0
71	WOOD_SOLID_LARGE	Wood Solid Large	155	130	95	2852.5
72	WOOD_SOLID_POLISHED	Wood Solid Polished	155	130	95	2800.0
73	WOOD_FLOOR_DUSTY	Wood Floor Dusty	165	145	110	2100.0
74	WOOD_HOLLOW_SMALL	Wood Hollow Small	170	150	125	350.0
75	WOOD_HOLLOW_MEDIUM	Wood Hollow Medium	170	150	125	700.0
76	WOOD_HOLLOW_LARGE	Wood Hollow Large	170	150	125	1050.0
77	WOOD_CHIPBOARD	Wood Chipboard	170	150	125	595.0
78	WOOD_OLD_CREAKY	Wood Old Creaky	155	130	95	2100.0
79	WOOD_HIGH_DENSITY	Wood High Density	155	130	95	21000.0
80	WOOD_LATTICE	Wood Lattice	155	130	95	1400.0
81	CERAMIC	Ceramic	220	210	195	9695.0
82	ROOF_TILE	Roof Tile	220	210	195	7000.0
83	ROOF_FELT	Roof Felt	165	145	110	5250.0
84	FIBREGLASS	Fibreglass	255	250	210	1750.0
85	TARPAULIN	Tarpaulin	255	250	210	2800.0
86	PLASTIC	Plastic	255	250	210	3500.0
87	PLASTIC_HOLLOW	Plastic Hollow	240	230	185	875.0
88	PLASTIC_HIGH_DENSITY	Plastic High Density	255	250	210	21000.0
89	PLASTIC_CLEAR	Plastic Clear	255	250	210	3500.0
90	PLASTIC_HOLLOW_CLEAR	Plastic Hollow Clear	240	230	185	875.0
91	PLASTIC_HIGH_DENSITY_CLEAR	Plastic High Density Clear	255	250	210	21000.0
92	FIBREGLASS_HOLLOW	Fibreglass Hollow	240	230	185	126.0
93	RUBBER	Rubber	70	70	70	4200.0
94	RUBBER_HOLLOW	Rubber Hollow	70	70	70	875.0
95	LINOLEUM	Linoleum	205	150	80	1925.0
96	LAMINATE	Laminate	170	150	125	2800.0
97	CARPET_SOLID	Carpet Solid	250	100	100	1050.0
98	CARPET_SOLID_DUSTY	Carpet Solid Dusty	255	135	135	1050.0
99	CARPET_FLOORBOARD	Carpet Floorboard	250	100	100	1750.0
100	CLOTH	Cloth	250	100	100	875.0
101	PLASTER_SOLID	Plaster Solid	145	145	145	2971.5
102	PLASTER_BRITTLE	Plaster Brittle	225	225	225	2971.5
103	CARDBOARD_SHEET	Cardboard Sheet	120	115	95	400.0
104	CARDBOARD_BOX	Cardboard Box	120	115	95	200.0
105	PAPER	Paper	230	225	220	4203.5
106	FOAM	Foam	230	235	240	175.0
107	FEATHER_PILLOW	Feather Pillow	230	230	230	192.5
108	POLYSTYRENE	Polystyrene	255	250	210	157.5
109	LEATHER	Leather	250	100	100	3307.5
110	TVSCREEN	Tvscreen	115	125	125	9026.5
111	SLATTED_BLINDS	Slatted Blinds	255	250	210	8750.0
112	GLASS_SHOOT_THROUGH	Glass Shoot Through	205	240	255	8750.0
113	GLASS_BULLETPROOF	Glass Bulletproof	115	125	125	8750.0
114	GLASS_OPAQUE	Glass Opaque	205	240	255	8750.0
115	PERSPEX	Perspex	205	240	255	4130.0
116	CAR_METAL	Car Metal	255	255	255	3363.5
117	CAR_PLASTIC	Car Plastic	255	255	255	1750.0
118	CAR_SOFTTOP	Car Softtop	250	100	100	1750.0
119	CAR_SOFTTOP_CLEAR	Car Softtop Clear	250	100	100	1750.0
120	CAR_GLASS_WEAK	Car Glass Weak	210	245	245	8750.0
121	CAR_GLASS_MEDIUM	Car Glass Medium	210	245	245	8750.0
122	CAR_GLASS_STRONG	Car Glass Strong	210	245	245	8750.0
123	CAR_GLASS_BULLETPROOF	Car Glass Bulletproof	210	245	245	8750.0
124	CAR_GLASS_OPAQUE	Car Glass Opaque	210	245	245	8750.0
125	WATER	Water	55	145	230	3573.5
126	BLOOD	Blood	205	5	5	3573.5
127	OIL	Oil	80	65	65	3573.5
128	PETROL	Petrol	70	100	120	3573.5
129	FRESH_MEAT	Fresh Meat	255	55	20	4200.0
130	DRIED_MEAT	Dried Meat	185	100	85	4200.0
131	EMISSIVE_GLASS	Emissive Glass	205	240	255	8750.0
132	EMISSIVE_PLASTIC	Emissive Plastic	255	250	210	3500.0
133	VFX_METAL_ELECTRIFIED	Vfx Metal Electrified	155	180	190	2100.0
134	VFX_METAL_WATER_TOWER	Vfx Metal Water Tower	155	180	190	2100.0
135	VFX_METAL_STEAM	Vfx Metal Steam	155	180	190	2100.0
136	VFX_METAL_FLAME	Vfx Metal Flame	155	180	190	2100.0
137	PHYS_NO_FRICTION	Phys No Friction	0	0	0	1750.0
138	PHYS_GOLF_BALL	Phys Golf Ball	0	0	0	577.5
139	PHYS_TENNIS_BALL	Phys Tennis Ball	0	0	0	350.0
140	PHYS_CASTER	Phys Caster	0	0	0	1750.0
141	PHYS_CASTER_RUSTY	Phys Caster Rusty	0	0	0	1750.0
142	PHYS_CAR_VOID	Phys Car Void	0	0	0	1750.0
143	PHYS_PED_CAPSULE	Phys Ped Capsule	0	0	0	1750.0
144	PHYS_ELECTRIC_FENCE	Phys Electric Fence	0	0	0	1750.0
145	PHYS_ELECTRIC_METAL	Phys Electric Metal	0	0	0	1750.0
146	PHYS_BARBED_WIRE	Phys Barbed Wire	0	0	0	1750.0
147	PHYS_POOLTABLE_SURFACE	Phys Pooltable Surface	155	130	95	8750.0
148	PHYS_POOLTABLE_CUSHION	Phys Pooltable Cushion	155	130	95	8750.0
149	PHYS_POOLTABLE_BALL	Phys Pooltable Ball	255	250	210	8750.0
150	BUTTOCKS	Buttocks	0	0	0	350.0
151	THIGH_LEFT	Thigh Left	0	0	0	350.0
152	SHIN_LEFT	Shin Left	0	0	0	350.0
153	FOOT_LEFT	Foot Left	0	0	0	350.0
154	THIGH_RIGHT	Thigh Right	0	0	0	350.0
155	SHIN_RIGHT	Shin Right	0	0	0	350.0
156	FOOT_RIGHT	Foot Right	0	0	0	350.0
157	SPINE0	Spine0	0	0	0	350.0
158	SPINE1	Spine1	0	0	0	350.0
159	SPINE2	Spine2	0	0	0	350.0
160	SPINE3	Spine3	0	0	0	350.0
161	CLAVICLE_LEFT	Clavicle Left	0	0	0	350.0
162	UPPER_ARM_LEFT	Upper Arm Left	0	0	0	350.0
163	LOWER_ARM_LEFT	Lower Arm Left	0	0	0	350.0
164	HAND_LEFT	Hand Left	0	0	0	350.0
165	CLAVICLE_RIGHT	Clavicle Right	0	0	0	350.0
166	UPPER_ARM_RIGHT	Upper Arm Right	0	0	0	350.0
167	LOWER_ARM_RIGHT	Lower Arm Right	0	0	0	350.0
168	HAND_RIGHT	Hand Right	0	0	0	350.0
169	NECK	Neck	0	0	0	350.0
170	HEAD	Head	0	0	0	350.0
171	ANIMAL_DEFAULT	Animal Default	0	0	0	350.0
172	CAR_ENGINE	Car Engine	255	255	255	3363.5
173	PUDDLE	Puddle	55	145	230	3573.5
174	CONCRETE_PAVEMENT	Concrete Pavement	145	145	145	7850.5
175	BRICK_PAVEMENT	Brick Pavement	195	95	30	7000.0
176	PHYS_DYNAMIC_COVER_BOUND	Phys Dynamic Cover Bound	0	0	0	1750.0
177	VFX_WOOD_BEER_BARREL	Vfx Wood Beer Barrel	155	130	95	1400.0
178	WOOD_HIGH_FRICTION	Wood High Friction	155	130	95	1400.0
179	ROCK_NOINST	Rock Noinst	185	185	185	7000.0
180	BUSHES_NOINST	Bushes Noinst	85	160	30	525.0
181	METAL_SOLID_ROAD_SURFACE	Metal Solid Road Surface	155	180	190	28000.0
182	STUNT_RAMP_SURFACE	Stunt Ramp Surface	155	180	190	28000.0
183	TEMP_01	Temp 01	255	0	255	5950.0
184	TEMP_02	Temp 02	255	0	255	5950.0
